0
(0, (8, 13, 11, 12, 10, 14, 7, 15), (648, 359))
(1, (2, 7, 11, 12, 4, 3, 15, 13), (496, 483))
(2, (4, 9, 15, 5, 12, 8, 6, 10), (503, 467))
(3, (5, 7, 10, 3, 13, 2, 14, 11), (479, 523))
(4, (7, 11, 15, 10, 6, 9, 8, 5), (512, 448))
(5, (7, 8, 11, 13, 9, 10, 5, 4), (484, 507))
(6, (12, 3, 7, 9, 13, 14, 8, 5), (522, 440))
(7, (4, 8, 14, 3, 13, 9, 5, 2), (436, 561))
(8, (7, 3, 4, 15, 2, 9, 5, 13), (435, 556))
(9, (11, 9, 3, 14, 6, 15, 5, 13), (560, 455))
1
(0, (4, 8, 14, 3, 13, 9, 5, 2), (436, 561))
(1, (12, 3, 7, 9, 13, 14, 8, 5), (522, 440))
(2, (7, 3, 4, 15, 2, 9, 5, 13), (435, 556))
(3, (7, 11, 15, 10, 6, 9, 8, 5), (512, 448))
(4, (7, 11, 15, 10, 6, 9, 8, 5), (512, 448))
(5, (12, 3, 7, 9, 13, 14, 8, 5), (522, 440))
(6, (7, 8, 11, 13, 9, 10, 5, 4), (484, 507))
(7, (5, 7, 10, 3, 13, 2, 14, 11), (479, 523))
(8, (8, 13, 11, 12, 2, 14, 7, 15), (598, 387))
(9, (7, 3, 4, 15, 10, 9, 5, 13), (485, 521))
2
(0, (7, 8, 11, 13, 9, 10, 5, 4), (484, 507))
(1, (8, 13, 11, 12, 2, 14, 7, 15), (598, 387))
(2, (7, 3, 4, 15, 2, 9, 5, 13), (435, 556))
(3, (7, 3, 4, 15, 2, 9, 5, 13), (435, 556))
(4, (5, 7, 10, 3, 13, 2, 14, 11), (479, 523))
(5, (8, 13, 11, 12, 2, 14, 7, 15), (598, 387))
(6, (7, 8, 11, 13, 9, 10, 5, 4), (484, 507))
(7, (7, 11, 15, 10, 6, 9, 8, 5), (512, 448))
(8, (7, 3, 4, 15, 2, 9, 5, 13), (435, 556))
(9, (12, 3, 7, 9, 13, 14, 8, 5), (522, 440))
3
(0, (7, 3, 4, 15, 2, 9, 5, 13), (435, 556))
(1, (7, 8, 11, 13, 9, 10, 5, 4), (484, 507))
(2, (8, 13, 11, 12, 2, 14, 7, 15), (598, 387))
(3, (7, 11, 15, 10, 6, 9, 8, 5), (512, 448))
(4, (8, 13, 11, 12, 2, 14, 7, 15), (598, 387))
(5, (8, 13, 11, 12, 2, 14, 7, 15), (598, 387))
(6, (7, 3, 4, 15, 2, 9, 5, 13), (435, 556))
(7, (7, 3, 4, 15, 2, 9, 5, 13), (435, 556))
(8, (8, 13, 11, 12, 2, 14, 7, 15), (598, 387))
(9, (8, 13, 11, 12, 2, 14, 7, 15), (598, 387))
4
(0, (7, 11, 15, 10, 6, 9, 8, 5), (512, 448))
(1, (7, 8, 11, 13, 9, 10, 5, 4), (484, 507))
(2, (7, 11, 15, 10, 6, 9, 8, 5), (512, 448))
(3, (8, 13, 11, 12, 2, 14, 7, 15), (598, 387))
(4, (7, 8, 11, 13, 9, 10, 5, 4), (484, 507))
(5, (8, 13, 11, 12, 2, 14, 7, 15), (598, 387))
(6, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(7, (8, 13, 11, 10, 2, 14, 7, 15), (580, 425))
(8, (8, 13, 11, 12, 2, 14, 7, 15), (598, 387))
(9, (7, 3, 4, 15, 2, 9, 5, 13), (435, 556))
5
(0, (8, 13, 11, 12, 2, 10, 7, 15), (562, 394))
(1, (7, 8, 11, 13, 9, 14, 5, 4), (520, 482))
(2, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(3, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(4, (8, 13, 11, 12, 2, 9, 7, 15), (557, 397))
(5, (7, 11, 15, 10, 6, 14, 8, 5), (553, 438))
(6, (8, 13, 11, 12, 2, 14, 7, 15), (598, 387))
(7, (7, 8, 11, 13, 9, 10, 5, 4), (484, 507))
(8, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(9, (7, 8, 11, 13, 9, 10, 5, 4), (484, 507))
6
(0, (8, 13, 11, 12, 2, 14, 7, 15), (598, 387))
(1, (7, 8, 11, 13, 9, 10, 5, 4), (484, 507))
(2, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(3, (7, 8, 11, 13, 9, 10, 5, 4), (484, 507))
(4, (2, 11, 15, 12, 6, 9, 8, 5), (497, 469))
(5, (7, 11, 15, 10, 6, 14, 8, 5), (553, 438))
(6, (7, 8, 11, 13, 9, 14, 5, 4), (520, 482))
(7, (7, 11, 15, 10, 6, 14, 8, 5), (553, 438))
(8, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(9, (7, 11, 15, 12, 6, 9, 14, 5), (577, 423))
7
(0, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(1, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(2, (7, 11, 15, 10, 6, 14, 8, 5), (553, 438))
(3, (7, 11, 15, 10, 6, 14, 8, 5), (553, 438))
(4, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(5, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(6, (7, 8, 11, 12, 9, 10, 5, 4), (476, 499))
(7, (7, 11, 15, 13, 6, 9, 8, 5), (538, 423))
(8, (7, 11, 15, 10, 6, 14, 8, 5), (553, 438))
(9, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
8
(0, (7, 8, 11, 12, 9, 10, 5, 4), (476, 499))
(1, (7, 11, 15, 10, 6, 14, 8, 5), (553, 438))
(2, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(3, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(4, (7, 11, 15, 10, 6, 14, 8, 5), (553, 438))
(5, (7, 11, 15, 10, 6, 14, 8, 5), (553, 438))
(6, (7, 11, 15, 10, 6, 14, 8, 13), (608, 383))
(7, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(8, (7, 8, 11, 12, 9, 10, 5, 4), (476, 499))
(9, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
9
(0, (7, 11, 15, 12, 6, 9, 8, 5), (530, 438))
(1, (7, 11, 15, 10, 6, 14, 8, 13), (608, 383))
(2, (7, 11, 15, 10, 6, 14, 8, 13), (608, 383))
(3, (7, 8, 11, 12, 9, 10, 5, 4), (476, 499))
(4, (7, 9, 15, 10, 6, 14, 8, 13), (594, 378))
